transaction_amount,income,device_fraud_count,account_age_days,transaction_hour,is_foreign_ip,month,fraud_bool
64.4,86152.19929665544,1,3234,19,0,6,0
39.39,49725.98680302224,1,2799,15,0,9,0
272.03,68530.11925339967,1,1294,7,0,11,0
1887.89,70993.568757604,0,2007,20,0,9,0
366.88,102868.65700567805,0,891,17,0,11,0
475.07,45501.84678903478,0,3161,16,0,1,1
248.08,89629.60888390632,0,1324,14,0,5,0
448.57,106946.7714566206,1,1372,10,0,4,0
339.71,93621.66117146533,1,1137,12,0,11,0
492.35,59879.9675586291,0,1170,12,0,2,0
151.98,99901.41878513245,0,1789,13,0,4,0
125.26,64111.29437192398,0,2254,21,0,4,0
110.45,32417.38291791454,0,3644,12,0,11,0
113.9,88165.37657260252,0,2318,8,0,7,0
1287.4,13598.406242618847,3,4,5,1,5,1
902.67,107739.46379071803,0,299,9,0,9,0
331.12,67429.3731688427,1,3397,11,0,5,0
419.67,50467.64732948896,1,1463,20,0,8,0
4580.71,19911.641917619476,9,48,2,0,12,1
81.41,59557.14078147686,0,2542,6,0,6,0
225.48,101972.38757235227,1,2848,14,0,12,0
704.4,79862.43510296321,1,1472,20,0,7,0
87.13,94155.79994862633,1,1820,6,0,12,0
136.58,70540.41949174824,1,1802,20,0,9,0
28.02,73926.90801330164,0,3071,6,0,2,0
108.67,45547.04919252562,0,2064,10,0,7,0
57.54,114927.10534102282,0,1798,8,0,11,0
661.61,113324.97604565744,0,2642,18,0,2,0
265.17,83472.06172310951,1,1984,13,0,9,0
831.89,62839.81038591443,1,227,13,0,8,0
282.11,81213.59919636777,1,3420,12,0,12,0
237.44,82547.84343578957,0,2927,20,0,7,0
222.19,76270.44052541273,0,2654,14,0,5,0
101.45,84097.76014947964,1,1532,15,0,5,0
470.85,101064.79856882204,0,1516,11,0,6,0
114.75,52232.34848602927,0,1041,21,0,8,0
182.22,46179.382482326255,1,2917,19,0,6,0
208.92,75210.26012605955,1,2258,13,0,11,0
1033.11,58974.185899147466,2,1759,12,0,11,1
104.06,98780.6773732329,0,1930,15,0,8,0
173.28,123732.4129244437,0,1889,22,0,7,0
722.74,101559.96360150797,6,15,5,1,10,1
271.0,106345.51051024688,1,753,8,0,6,0
15.07,38203.54743824921,1,122,16,0,1,0
641.64,63510.87331712847,0,3522,21,0,12,0
205.51,70363.23019884992,1,2152,18,0,10,0
41.1,114847.7892782533,0,2185,11,0,6,0
832.02,60627.019842861744,0,2510,9,0,11,0
38.37,58230.082195002455,0,1206,14,1,6,0
205.34,93586.07016877749,1,2947,16,0,5,0
367.74,24559.939783667985,4,27,4,1,12,1
563.09,72901.43491774244,2,1972,8,0,9,1
33.31,43836.37908250616,1,965,16,0,12,0
331.16,44134.54981922709,0,2483,8,0,5,0
145.13,101229.6535401497,0,1045,6,0,8,0
270.84,16807.088810902518,1,2648,10,0,12,0
103.36,56212.2703594445,2,1913,13,0,2,0
469.11,57654.502000692904,0,2917,6,0,11,0
45.06,50085.78843418117,2,1016,15,0,8,0
269.66,73460.96056626145,1,845,21,0,3,0
101.01,10000.0,0,2060,22,0,11,0
328.35,55600.98781017783,2,188,6,0,6,1
179.01,59884.91799697215,0,2445,16,0,7,0
208.48,54662.316814473525,0,2529,13,0,10,0
268.81,110471.99655704346,2,734,8,0,8,1
662.08,36833.43146925863,0,2198,13,0,6,0
282.54,50124.97743808185,0,3637,11,0,6,0
96.5,99714.79968522336,2,2808,10,0,10,0
130.35,80527.65250083721,1,418,10,0,7,0
201.28,94655.3085254069,2,1450,9,0,7,1
215.22,119947.16013848165,0,203,21,0,7,0
261.72,48685.79929678977,0,2927,6,0,7,0
560.01,69780.02874404752,0,2815,14,0,8,0
92.98,44022.402783259335,0,2890,20,0,12,0
288.63,47547.334586302386,1,2601,22,0,1,0
657.28,65089.11106390024,1,417,21,0,1,0
129.64,58648.229564154164,1,905,15,0,5,0
93.28,60732.826613417885,0,2889,12,0,12,0
90.31,56204.21017500832,0,572,22,0,10,0
411.19,61291.639545463164,0,1294,7,0,11,0
86.98,53814.73186753994,0,296,11,0,9,0
100.12,10000.0,2,1591,11,0,11,1
27.04,41260.15695711693,0,3129,17,0,7,0
79.9,87797.88112414749,0,97,10,0,12,0
145.79,63174.69209192586,1,3144,22,0,1,0
254.88,55683.122059052126,0,1783,22,0,9,0
303.36,101297.06417110181,2,2798,11,0,9,1
94.2,74588.59377823035,2,2462,18,0,3,0
201.44,81959.75930176943,0,2727,22,0,5,0
56.23,76015.11274170932,0,659,20,0,5,0
693.48,100406.4090509467,2,2861,22,0,4,1
244.02,41413.819363579925,1,3420,19,0,6,0
1103.71,44412.31829083644,1,2086,17,0,9,0
155.18,89332.35497934687,1,1544,14,0,3,0
67.85,45843.31713346955,2,2251,19,0,3,0
405.27,94085.39251789165,1,2910,8,0,10,0
207.12,50737.56701484564,0,3515,18,0,8,0
584.03,105156.70636626014,0,821,8,0,3,0
350.88,86065.17072140968,0,2768,16,0,9,0
61.51,97058.8821041281,2,711,16,0,4,0
191.87,100085.94761977516,0,136,11,0,8,0
589.83,91939.69617506154,0,2943,22,0,8,0
216.61,49157.98597376926,0,3443,17,0,6,0
102.92,48247.981942106606,0,1078,7,0,12,0
56.45,10000.0,0,1963,15,0,7,0
90.33,51267.99061090748,0,2828,21,0,1,0
1547.12,82156.57866311878,0,1308,14,0,1,0
129.74,78408.42793403985,0,3354,16,0,11,0
213.44,89799.96314222926,1,2976,15,0,5,0
704.54,56628.543975281595,0,3009,15,0,10,0
5.84,73636.2045907832,1,93,13,0,11,0
561.6,90487.42040751158,1,1247,9,0,2,0
61.02,33994.060512498865,0,734,8,0,3,0
505.71,67122.27867149713,1,2604,19,0,8,0
260.73,74809.03624473073,0,768,17,0,9,0
132.82,28355.652895633357,1,1939,16,0,8,0
250.05,73171.2218924661,6,42,0,0,9,1
973.05,91182.73289856839,2,1807,20,0,9,1
153.15,93325.58427318824,1,3622,18,0,5,0
677.05,92151.1901876703,0,1067,10,0,8,0
45.11,113790.06318744711,1,1123,18,0,5,0
157.71,82371.32380794214,0,1242,18,0,2,0
180.86,90242.89113156614,0,1226,7,0,10,0
404.28,26315.715617624683,5,14,1,0,9,1
420.25,43640.917254105225,1,769,20,0,3,0
172.98,64162.27136918028,4,1697,22,0,4,1
153.5,81217.47741138929,0,3601,20,0,10,0
296.82,80114.34548229745,0,3069,17,0,8,1
72.18,78569.17524213307,0,1540,21,0,5,0
365.04,106859.36692871075,1,2457,22,0,8,0
535.19,74371.15789603457,1,2270,17,0,4,0
296.03,41629.97316112375,1,2080,22,0,5,1
372.94,66631.55992404715,1,1834,20,0,9,0
203.99,54700.681031898785,1,1921,16,0,11,0
173.22,55014.41032159195,0,408,17,0,12,0
193.54,95622.64610718361,1,392,17,0,1,0
93.14,88622.36745432785,1,1212,13,0,10,0
668.4,101647.19772696302,1,1212,11,0,1,0
494.27,48638.639525224775,0,1318,18,0,2,0
331.61,73024.56219459909,0,2754,13,0,5,0
40.67,129105.51847550136,2,1742,20,0,4,0
6004.07,24845.01414508283,1,3273,14,0,3,1
885.37,78029.97902916258,5,49,3,1,1,1
465.11,61395.27631536412,1,3587,15,0,7,0
64.62,62382.880405309894,0,878,14,0,5,0
588.93,35678.30368758787,2,3631,15,0,9,1
1549.91,28136.11309535047,1,49,5,1,8,1
250.71,53811.4745456079,0,3153,8,0,12,0
569.78,41060.30175378867,1,3220,18,0,9,0
277.98,74722.38431767908,0,1476,12,0,6,0
240.22,69966.99687875804,2,2871,20,0,8,1
140.91,73967.26167063598,1,1718,22,0,7,0
29.08,81795.1386935132,0,1237,10,0,4,0
79.46,57147.18039526789,0,3007,10,0,11,0
58.29,61199.755281134305,0,2727,13,0,9,0
5774.91,51241.90032971329,3,53,3,1,7,1
64.61,71676.5016547247,0,1009,17,0,4,0
1755.15,67154.55549158163,0,1249,9,0,2,0
157.38,50082.57315338075,0,3416,20,0,11,0
54.55,46075.84174251079,0,2832,10,0,10,0
101.1,51248.521567262054,0,911,13,0,5,0
181.13,42786.9423863368,1,2001,13,0,1,0
158.21,56945.20437847298,0,2837,13,0,9,0
95.71,34318.032986344355,0,3580,17,0,1,0
173.37,81545.68716914143,0,2315,7,0,11,0
326.91,58575.138711733394,1,408,8,0,5,0
3793.6,99517.97626098154,1,230,18,0,10,0
73.79,67442.83411066854,1,1575,20,0,2,0
406.07,122515.05524019967,1,918,22,0,5,0
298.68,45876.53872092876,0,3412,12,0,8,0
520.93,46828.876712154415,0,164,6,0,8,0
120.56,87215.07974895267,1,1605,21,0,2,0
65.99,98529.57046459334,0,3207,10,0,9,0
475.0,45316.01451676731,0,2909,8,0,2,0
66.17,92532.48445845202,0,1241,13,0,5,0
203.18,80903.49695901101,1,2351,14,0,4,0
238.68,62878.44500189249,1,2677,22,0,4,0
90.04,45411.89833805196,1,3459,22,0,4,0
656.38,26851.65482698114,0,3448,10,0,8,0
82.62,67145.48085539647,1,809,20,0,11,0
173.61,85181.90841774925,1,2737,9,0,3,0
682.85,37304.765028985574,0,2214,17,0,10,0
156.45,41805.92935932988,0,628,19,0,10,0
586.97,91187.41039726522,0,1691,10,0,11,0
146.99,52358.19194663763,1,904,7,0,2,0
500.17,102520.5658238383,0,2017,7,0,7,0
42.84,53691.61748149457,0,859,8,0,12,0
704.66,24003.012378782863,0,1385,19,0,2,0
461.29,42250.621457413945,1,1892,18,0,6,0
60.29,68071.87136909518,0,128,15,0,8,0
6569.0,64791.69729010528,1,17,1,1,7,1
536.81,77213.7037478715,0,1914,21,0,11,0
81.14,85586.32819433653,0,988,13,0,10,0
17.96,30628.608314029014,3,2602,19,0,2,1
145.18,52398.61080298466,1,3331,7,0,7,0
1261.67,64575.236137723536,1,2241,8,0,1,0
286.53,93920.31852275718,0,205,15,0,7,0
178.98,75248.40136696762,1,915,9,0,12,0
193.56,62865.248603221095,1,458,17,0,5,0
22.65,67419.80777212197,1,1247,10,0,8,0
22.76,129565.19783259495,0,2764,10,0,4,0
286.72,96380.73654358488,2,2880,15,0,11,1
89.54,69326.24927866853,0,1792,10,0,9,0
141.13,104371.13217668192,1,1556,8,0,11,0
102.27,39434.125081955135,0,1588,19,0,12,0
87.67,94117.85963480968,0,3394,13,0,2,0
309.57,51044.678414860944,2,2605,8,0,8,1
85.5,104843.70357075427,0,1267,6,0,6,0
100.26,123916.51150709804,0,1600,20,0,2,0
336.7,90849.45403783408,0,1073,16,0,7,0
575.5,83096.20637461032,1,248,11,0,4,0
967.36,73897.7192510207,0,3588,9,0,7,0
300.91,117284.87371815738,0,2757,12,0,8,0
378.69,24016.012693593024,0,1679,11,0,11,0
581.47,77818.78971617785,0,3535,7,0,10,0
63.6,59726.29752389924,1,2742,6,0,11,0
302.92,102687.7500433848,1,2560,8,0,6,0
258.87,100980.88996961535,1,2174,7,0,6,0
180.52,77562.19015522278,0,104,12,0,9,0
186.74,90781.10003364687,0,1579,6,0,2,0
318.71,55848.42698943513,0,2968,22,0,12,0
1431.48,70557.43888209898,2,305,17,0,6,1
17819.72,73461.84860825879,6,3,3,1,2,1
31.19,80053.62408938818,1,1878,7,0,1,0
361.8,26468.944944491865,0,901,15,0,3,0
345.98,119733.6553472838,1,1990,11,0,9,0
216.32,80564.86537913246,0,1639,14,0,10,0
604.96,65740.54644148494,0,965,16,0,10,0
417.35,55432.832231427165,1,695,12,0,11,0
166.36,44866.41634796839,0,2053,11,0,1,0
966.84,48174.702509011164,0,356,15,0,5,0
96.23,73819.11801624009,0,1878,6,0,9,0
305.79,57199.777885959724,1,3542,16,0,11,0
102.15,74772.71713665438,0,328,6,0,8,0
227.88,96277.24879115366,0,1794,12,0,4,0
448.23,44597.82668209245,0,3285,21,0,1,0
297.22,27522.000179549505,0,3450,10,0,3,0
2400.98,119170.76254065325,0,1720,20,0,4,0
191.62,91188.51755660125,0,2665,14,0,8,0
44.48,69053.64424093475,0,163,12,0,4,0
151.91,71555.99231387331,1,1097,15,0,1,0
432.32,100841.24126453046,1,2201,7,0,11,0
553.61,64041.851873515305,0,2929,21,0,9,0
15739.09,47207.29251696644,1,7,1,0,5,1
137.83,67023.29696554944,1,2050,18,0,5,0
165.52,47726.03573270548,1,3465,20,0,1,0
547.41,18142.67758735457,5,38,4,0,10,1
353.83,104149.45864134515,0,1827,14,0,1,0
364.76,83523.1840902965,1,2610,9,0,6,0
45.45,60656.1567419852,1,2778,20,0,10,0
150.71,137186.6867840747,1,287,20,0,4,0
271.71,62957.00782196659,0,1036,15,0,1,0
10.85,46847.63389662524,0,174,16,0,5,0
68.13,46479.24222643812,0,1934,14,0,8,0
559.58,39192.950466770126,0,2302,14,0,11,0
292.8,88958.33786189977,0,2704,19,0,6,0
315.79,64436.7289876549,0,2551,22,0,8,0
867.33,22598.683382367366,1,2819,9,0,3,0
269.22,64538.37997094798,0,3506,16,0,4,0
184.23,45179.417162607024,0,3069,14,0,8,0
51.18,73428.19207042357,3,3418,13,0,5,1
218.08,104274.29909748281,1,1201,17,0,11,0
109.74,111269.11625506113,0,1071,16,0,7,0
492.71,76787.77876703063,5,4,2,1,9,1
536.13,43989.402235758476,0,3402,16,0,3,0
2120.68,60819.583668085266,2,45,0,1,1,1
133.51,55098.28102707502,0,1936,7,0,9,0
186.18,49917.23487025933,0,590,9,0,11,0
366.07,33912.906974578094,0,2607,10,0,11,0
179.87,69098.80929893539,0,211,9,0,7,0
47.63,77433.08503197042,0,3031,21,0,3,0
74.95,49744.78934538296,1,1211,10,0,11,0
266.77,10000.0,0,693,10,0,9,0
11798.12,66504.14266420188,2,57,4,1,8,1
210.17,62188.62056504603,0,2336,7,0,12,0
27628.23,123551.450958897,4,33,3,1,6,1
231.77,29502.68607201845,0,727,9,0,9,0
108.03,57857.60046409355,0,571,13,0,4,0
3029.47,47975.974325805626,0,1880,10,0,11,0
372.5,100129.2650403177,0,3073,15,0,3,0
340.7,82217.46309839457,0,3645,15,0,2,0
895.97,24301.539478367926,2,48,0,1,2,1
484.27,86987.57897320823,0,2004,12,0,1,0
427.55,96281.33609103224,2,1546,18,0,1,1
420.32,122288.71164610301,0,3134,16,0,5,0
159.4,115338.13920791025,0,2687,8,0,4,0
451.16,81143.34274006351,0,2280,20,0,4,0
61.27,101447.89434895941,0,217,9,0,1,0
254.88,104143.02375014915,0,2672,17,0,10,0
125.77,11162.251405802097,0,528,17,0,3,0
365.35,72185.5078156462,0,3380,17,0,2,0
106.84,50260.28335125634,1,3411,18,0,4,0
140.76,68252.03617257264,0,2306,11,0,4,0
728.65,71306.14229835481,0,3025,13,0,9,0
497.25,103077.8702872017,0,2773,10,0,12,0
90.56,80784.0038187095,0,2573,7,0,3,0
116.4,10000.0,0,229,22,0,7,0
134.71,89434.78781874503,0,3038,8,0,2,0
813.25,75505.77297519243,1,1852,7,0,11,0
120.61,59274.61857118686,1,1687,15,0,3,0
166.24,86157.99292222266,0,2639,7,0,11,0
113.77,74520.04516813582,0,1097,15,0,1,0
313.81,76841.03339378188,0,179,16,0,7,0
974.18,51096.98355623101,2,0,4,1,6,1
33.23,98742.61939589726,0,2244,22,0,7,0
137.49,66240.41799587164,0,3371,9,0,7,0
237.05,74532.00110945935,4,1409,10,0,1,1
287.52,101799.0863502709,0,1322,17,0,6,0
570.96,112141.30379387946,0,2041,18,0,11,0
78.6,84913.30535410038,0,2382,15,0,11,0
1038.88,43552.32236971731,4,15,5,1,12,1
141.99,135011.51654022283,0,3371,17,0,12,0
194.52,66795.09751240409,1,3634,11,0,1,0
90.51,64810.2756091007,0,2694,19,0,8,0
624.08,66487.32817104507,0,438,9,0,3,0
161.32,61071.2002086801,1,1777,17,0,7,0
142.04,24760.247004497673,0,1888,16,0,8,0
307.52,43324.71657661293,1,864,12,0,1,0
132.53,42500.83678307883,1,2607,17,0,2,0
905.08,34585.95137067314,6,26,1,0,8,1
197.8,59660.60522173937,0,2010,14,0,4,0
241.51,66143.98127987194,0,929,20,0,2,0
314.57,64913.99448501977,1,1731,16,0,7,0
45.68,58617.51857237959,2,3054,20,0,12,0
509.36,76369.7286521192,1,3171,10,0,6,0
62.44,37636.53683535382,0,1538,7,0,9,0
233.61,84299.67605190165,0,3520,20,0,12,0
247.53,20868.920443034418,0,2173,9,0,8,0
37.99,69063.19696524549,2,2998,10,0,12,0
394.0,61357.66325479276,0,964,20,0,9,0
197.58,87956.16349770052,0,900,7,0,9,0
240.69,63927.13393263945,0,933,16,0,6,0
122.64,73921.61591643108,0,597,14,0,2,0
119.6,44060.49789284206,0,1332,10,0,7,0
10168.28,13629.926575584235,2,51,23,1,12,1
48.98,119091.49337609866,1,430,20,0,9,0
440.29,89763.21605733763,0,3354,22,0,1,0
1146.94,68932.13145903124,1,1839,10,0,8,0
36.23,80863.056054396,1,1223,17,0,5,0
324.43,92569.52918139106,1,3270,15,0,10,0
33.93,70917.6239872561,1,274,19,0,6,0
490.18,90072.33108616086,2,1895,13,0,7,1
157.45,71295.64035660979,0,3444,18,0,4,0
113.05,91216.04994472601,0,1237,21,0,10,0
159.44,54447.10676511604,0,1054,14,0,7,0
140.23,70895.79812634943,2,987,16,1,6,1
135.94,62598.662556500996,1,3501,12,0,3,0
46.06,45001.847635927494,1,3014,18,0,6,0
1066.42,115895.26537924976,1,904,18,0,3,0
145.49,30020.979582133463,0,2647,20,1,4,0
117.15,53202.50571158721,0,2339,6,0,2,0
28.5,62362.48168865719,0,1454,6,0,4,0
1056.85,63612.73949328426,0,3301,20,0,12,0
225.84,69471.80723198556,0,915,10,0,9,0
108.49,64709.17503205299,0,2965,21,0,9,0
75.0,23997.116882208255,0,667,8,0,7,0
1567.11,24582.36244465411,7,10,1,1,11,1
175.26,112492.26686711039,1,153,14,0,6,0
482.86,56463.62035570502,0,2153,19,0,8,0
368.88,51758.528931694156,0,2478,20,0,7,0
147.35,44834.86173642422,0,1471,16,0,5,0
135.04,66292.56135202046,0,3206,20,0,9,0
1598.14,94104.48662875924,0,3580,20,0,3,0
851.02,82363.2741640376,1,1474,8,0,8,0
314.1,58833.90855251728,1,1247,6,0,5,0
657.69,76364.53504600305,2,2968,18,0,9,1
287.02,97317.15980885114,0,580,8,0,4,0
38.55,103898.64869974312,0,94,7,0,9,0
3819.47,63811.37598382367,6,13,0,0,1,1
184.23,59031.50223166248,0,3357,9,0,9,0
126.39,57456.740032382346,1,134,15,0,5,0
61.91,10000.0,1,812,9,0,9,0
132.59,73339.48346847757,0,3080,6,0,12,0
162.73,58329.25607799202,0,3299,12,1,4,0
205.81,75873.77921215212,1,579,8,0,10,0
113.32,48139.24186311955,0,2169,14,0,9,0
188.62,53537.532703786754,1,2578,14,0,11,0
1120.96,35162.26354001912,3,40,23,1,8,1
308.76,58280.954846992056,1,1526,22,0,2,0
59.63,76975.1529594501,1,942,11,0,11,0
134.09,98395.88985426346,0,472,22,0,11,0
1991.54,10000.0,3,19,1,1,5,1
260.51,28979.24460008517,0,333,9,0,8,0
4916.98,59402.301440097974,8,47,1,0,1,1
342.38,73191.08026863764,1,220,8,0,11,1
83.27,47667.803975391915,1,209,9,0,10,0
395.68,45851.80522423251,0,2938,20,0,12,0
145.06,90749.27371824972,0,1210,15,0,1,0
111.14,81683.10963131819,2,189,22,0,10,0
32.72,96774.78294256055,0,3534,22,0,12,0
549.02,55168.44364398056,0,2769,14,0,6,0
597.68,118156.15247628363,0,1278,13,0,11,0
234.84,100631.80596198555,1,2470,14,0,8,0
363.77,98250.03911549895,2,1644,20,0,2,1
215.51,60003.4135883122,1,3060,6,0,11,0
147.11,76320.79860862756,1,3367,6,0,9,0
459.6,104215.82715813568,0,1910,16,0,12,0
406.59,49675.58447537699,3,1,3,1,4,1
122.98,61367.407695990034,2,3298,9,0,2,1
997.03,12850.129825100827,1,704,6,1,2,1
68.36,90904.61715659499,0,3300,7,0,7,0
246.86,36766.191500722314,1,848,8,0,12,0
106.43,73599.88856441094,1,2363,10,0,10,0
16.45,79333.55999445004,0,2897,21,0,7,0
78.49,15311.797421253352,0,2249,13,0,5,0
127.83,42202.52171735227,0,2883,8,0,2,0
73.23,52720.96120225347,2,2064,17,0,12,0
556.86,52344.71316165013,1,2620,16,0,1,0
153.12,68313.29556758079,0,3023,21,0,12,0
110.82,70860.71380441378,0,3067,8,0,11,0
276.88,103196.8806368349,0,530,20,0,3,0
657.68,68177.00410321917,2,1110,7,0,11,1
78.08,44784.0712765955,0,179,18,0,7,0
102.18,64372.13190652621,1,3632,15,0,1,0
509.07,114785.04574081302,1,3605,8,0,10,0
378.33,52398.48886287959,0,1462,16,0,3,0
278.09,83888.88830095908,1,3593,8,1,10,1
455.75,107963.09624892696,0,2145,13,0,11,0
160.96,56708.502622233435,2,2574,11,0,1,1
81.01,56135.7743968912,0,1562,16,0,4,0
75.45,49396.4695552886,0,3592,13,0,8,0
418.28,64350.63479399408,0,375,9,0,7,0
31.04,59223.10055604645,0,626,17,0,5,0
108.02,67084.107156415,1,1835,11,0,4,0
68.35,88357.01232916318,0,554,14,0,2,0
955.12,88003.17499334141,1,1361,19,0,4,0
54.63,73173.33117300193,0,2341,22,0,1,1
237.16,127314.68854419733,0,2833,10,0,5,0
96.05,86849.11435332097,0,3277,19,0,10,0
2259.87,105663.02838348161,5,13,4,1,2,1
620.59,85420.94262411239,0,627,22,0,3,0
957.86,121432.18555711987,2,49,5,1,6,1
53.71,77770.49605959874,0,2956,6,0,4,0
357.76,35890.633617998275,0,2226,15,0,3,0
41.44,83646.67655988714,0,1930,15,0,8,0
95.73,77932.23106061586,1,3070,6,0,5,0
2422.72,59436.13906141255,2,10,5,0,2,1
496.29,68586.06971799649,1,2064,9,0,11,0
32.65,38386.154000445575,0,1226,13,0,6,0
161.38,49100.85742517207,1,2992,13,0,10,0
132.48,82240.54821569496,0,1206,7,0,9,0
198.91,87271.28066093297,0,3230,18,0,12,0
87.72,80681.04982633979,2,2277,13,0,2,0
164.58,46213.47400640771,0,1568,9,0,6,0
470.94,78081.23803306144,1,220,17,0,7,0
41.57,60329.73615505113,0,2944,13,0,12,0
657.65,92843.59714194185,1,1858,18,0,8,0
1292.19,50624.70287549213,0,2609,6,0,1,0
743.94,67949.0995279218,0,2719,16,0,11,0
108.09,63827.713372253245,0,2655,21,0,10,0
381.77,77622.43991510248,1,3047,12,0,9,0
282.81,54184.661530096266,0,987,18,0,6,0
481.29,68564.36142629787,0,1241,18,0,7,0
217.7,67001.86333175513,0,461,13,0,7,0
287.33,73025.8214160771,0,2778,9,0,6,0
20.13,47115.88920582899,0,2203,16,1,3,0
213.13,66402.89987273155,2,1968,16,1,9,1
538.07,89949.26639676114,1,3164,17,0,7,0
34.53,53510.07018033393,0,3053,13,0,2,0
1681.59,72492.60459739459,0,1497,12,0,12,0
1650.12,118118.62471158135,0,1690,21,0,6,0
19.49,50761.85944100114,0,1518,13,0,3,0
767.9,63338.994990206986,0,834,21,0,4,0
1820.24,66230.89841071017,2,845,19,0,3,1
151.09,112031.41317020508,0,3431,13,0,8,0
61.19,43335.69066023626,0,2851,12,0,10,0
12109.52,86237.2843079323,2,46,0,1,12,1
86.04,57619.678392544774,1,726,17,0,10,0
473.94,65975.14548519836,1,2156,18,0,6,0
163.55,62429.789337785296,0,2578,17,0,8,0
